Population number =1
Individ number; phenotype; genotype;f(x); F(x)
0; -0.9459609985351562; -10111111001110011101;1.9923129220106075; 1.9923129220106075;
1; -0.9459257125854492; -10001011001111111100;1.988320032433713; 1.988320032433713;
2; -0.8352260589599609; -10001011001111000010;0.2556069742413687; 0.2556069742413687;
3; -0.20317840576171875; -111000100111100101;-3.0216157693670387; -3.0216157693670387;
4; -0.18390464782714844; -101110000000100100;-2.264659218223948; -2.264659218223948;
5; 0.24072551727294922; 100011011100000010;4.333489507591564; 4.333489507591564;
6; 0.2545204162597656; 1001001001010011011;4.384815951458473; 4.384815951458473;
7; 0.2557802200317383; 1010000010010100101;4.374159136393807; 4.374159136393807;
8; 0.2593574523925781; 1010000110011011011;4.330346485894604; 4.330346485894604;
9; 0.2593679428100586; 1010010000100101110;4.330189141604903; 4.330189141604903;
10; 0.260009765625; 1010011000011001101;4.320248498028145; 4.320248498028145;
11; 0.2603302001953125; 1010011001111110110;4.315055615468731; 4.315055615468731;
12; 0.3160877227783203; 1010011100000111100;2.628094172701851; 2.628094172701851;
13; 0.32227134704589844; 1011011100100010110;2.595719981061487; 2.595719981061487;
14; 0.3406391143798828; 1100001101111000110;2.9408991254354584; 2.9408991254354584;
15; 0.35688304901123047; 1100001110001111011;3.724561400628043; 3.724561400628043;
16; 0.37676334381103516; 1100011010101110000;4.897957027709417; 4.897957027709417;
17; 0.3770923614501953; 1100011010101111110;4.915909775111658; 4.915909775111658;
18; 0.38294315338134766; 1100011110110000000;5.2132057904051905; 5.2132057904051905;
19; 0.3834571838378906; 1100011111101111000;5.237035193620725; 5.237035193620725;
20; 0.38667964935302734; 1110110111100101110;5.376474745087451; 5.376474745087451;
21; 0.3901863098144531; 1111000100111101011;5.506660141441805; 5.506660141441805;
22; 0.4262428283691406; 1111011110000000101;5.146644592226186; 5.146644592226186;
23; 0.4445619583129883; 1111100101011100011;3.9392621653549953; 3.9392621653549953;
24; 0.5115852355957031; 10000111000110000111;2.829010344321254; 2.829010344321254;
25; 0.5677347183227539; 10001011011010010110;5.70399468711659; 5.70399468711659;
26; 0.6156158447265625; 10010010110100011110;1.9169720993584567; 1.9169720993584567;
27; 0.6835880279541016; 10100000100110101101;2.2622317523992375; 2.2622317523992375;
28; 0.6846294403076172; 10100011000001100000;2.3662443638914934; 2.3662443638914934;
29; 0.6846933364868164; 11000011100011001110;2.3726397586780252; 2.3726397586780252;
30; 0.6969099044799805; 11010011010101011000;3.568745197710558; 3.568745197710558;
31; 0.7093915939331055; 11011001111111001001;4.53038078384677; 4.53038078384677;
32; 0.7100515365600586; 11100001011111011001;4.5684842918635775; 4.5684842918635775;
33; 0.7327175140380859; 11100110010110101101;4.7976502200300635; 4.7976502200300635;
34; 0.7435131072998047; 11101011010111001110;4.118772890682186; 4.118772890682186;
35; 0.7536096572875977; 11101111001001110000;3.099594046798946; 3.099594046798946;
36; 0.75787353515625; 11101111010101111110;2.589356209353059; 2.589356209353059;
37; 0.8882026672363281; 11111000111000100001;4.470009434489761; 4.470009434489761;
38; 0.9465065002441406; 11111000111011000001;-2.0534172269298856; -2.0534172269298856;
39; 0.976811408996582; 11111001100000000111;-3.0084148259730332; -3.0084148259730332;
40; 1.1963520050048828; 100111110101111111100;6.5997926129163105; 6.5997926129163105;
41; 1.3142995834350586; 101100101101010110101;0.9947734752981794; 0.9947734752981794;
42; 1.3238611221313477; 101101000000001101100;2.986675811269695; 2.986675811269695;
43; 1.357574462890625; 101110100000001101010;9.627518684195257; 9.627518684195257;
44; 1.3925142288208008; 110101011011001100011;8.760188805207202; 8.760188805207202;
45; 1.4870319366455078; 111000010111110010011;5.923750682620942; 5.923750682620942;
46; 1.6561765670776367; 111010110010001100011;9.78993974993869; 9.78993974993869;
47; 1.6875686645507812; 111110110010011110000;15.527418594487523; 15.527418594487523;
48; 1.7234249114990234; 111111000010011110000;11.118554560453205; 11.118554560453205;
49; 1.8313817977905273; 111111011100111001101;13.81880292632911; 13.81880292632911;
Population number =3
Individ number; phenotype; genotype;f(x); F(x)
0; 0.2545204162597656; 1010000100011001100;4.384815951458473; 4.384815951458473;
1; 0.2631568908691406; 1010011000011100100;4.26277582162617; 4.26277582162617;
2; 0.32595348358154297; 1010011001111110110;2.6114740083099086; 2.6114740083099086;
3; 0.3497791290283203; 1010101001101001100;3.3399600711723134; 3.3399600711723134;
4; 0.36361217498779297; 1010111110011011011;4.123280403050949; 4.123280403050949;
5; 0.3654203414916992; 1011011100100010110;4.232770775411786; 4.232770775411786;
6; 0.37877559661865234; 1100001101111000110;5.0058985925215165; 5.0058985925215165;
7; 0.38298797607421875; 1100010111100010110;5.215300067547606; 5.215300067547606;
8; 0.3834571838378906; 1110011010010100010;5.237035193620725; 5.237035193620725;
9; 0.3963441848754883; 1110011100111110110;5.67277434991787; 5.67277434991787;
10; 0.39903926849365234; 1110101010011101011;5.717844351693602; 5.717844351693602;
11; 0.4262428283691406; 1111010110010010110;5.146644592226186; 5.146644592226186;
12; 0.5405969619750977; 10100000100101011011;4.961459244901557; 4.961459244901557;
13; 0.5677347183227539; 10100000100110101101;5.70399468711659; 5.70399468711659;
14; 0.5798072814941406; 11001111010101101101;5.241489705753394; 5.241489705753394;
15; 0.5850515365600586; 11011001111111001001;4.892624301851329; 4.892624301851329;
16; 0.6969099044799805; 11011110010110010110;3.568745197710558; 3.568745197710558;
17; 0.7092866897583008; 11011111001001110000;4.524184984714755; 4.524184984714755;
18; 0.7094087600708008; 11100001011111011001;4.531391040093798; 4.531391040093798;
